[0.0001, 0.01, 'ResNet50', '10999', '0.32605932782683644', '0.3451075405353182'],
[0.01, 0.01, 'ResNet50', '7999', '0.23159592204891505', '0.5893473667581695'],
[0.001, 0.01, 'ResNet50', '3999', '0.38781208500967324', '0.49873546010000835'],
[0.0001, 0.01, 'ResNet50', '9999', '0.2597142837178928', '0.3142519096937428'],
[0.001, 0.01, 'ResNet50', '2999', '0.4646067894057523', '0.4796158061693623'],
[1e-05, 0.01, 'ResNet50', '11999', '0.0037400914467523626', '0.03167879505435817'],
[0.01, 0.01, 'ResNet50', '6999', '0.08642293548951727', '0.5372437569531291'],
[0.0001, 0.01, 'ResNet50', '8999', '0.26174400732127806', '0.3530080945133923'],
[0.001, 0.01, 'ResNet50', '1999', '0.26804105799145284', '0.4514545694660697'],
[0.0001, 0.01, 'ResNet50', '7999', '0.21258752927252927', '0.3348944094418939'],
[0.01, 0.01, 'ResNet50', '5999', '0.2750970520398948', '0.42170711495990243'],
[0.0001, 0.01, 'ResNet50', '6999', '0.11283180417342138', '0.18911673359723474'],
[0.01, 0.01, 'ResNet50', '4999', '0.4076663527280364', '0.4912226206283335'],
[1e-05, 0.01, 'ResNet50', '10999', '0.004035756236112563', '0.03473810201808846'],
[0.01, 0.01, 'ResNet50', '3999', '0.32711515611900766', '0.47638861335189536'],
[0.0001, 0.01, 'ResNet50', '5999', '0.037971129961259245', '0.17481149617536618'],
[0.0001, 0.01, 'ResNet50', '4999', '0.05774027533248085', '0.14043984923318642'],
[0.01, 0.01, 'ResNet50', '2999', '0.020134672180803486', '0.28115214061329724'],
[1e-05, 0.01, 'ResNet50', '9999', '0.004164720469548345', '0.03603935104855861'],
[0.0001, 0.01, 'ResNet50', '3999', '0.03576091794903043', '0.14467210343311948'],
[0.01, 0.01, 'ResNet50', '1999', '0.1187277424199511', '0.40437436488658995'],
[0.0001, 0.01, 'ResNet50', '2999', '0.028639213634767024', '0.15336183145182206'],
[1e-05, 0.01, 'ResNet50', '8999', '0.00382542750945634', '0.03155915995159518'],
[0.0001, 0.01, 'ResNet50', '1999', '0.020683644659274875', '0.13337915217231613'],
[1e-05, 0.01, 'ResNet50', '7999', '0.0033781529407697665', '0.023495427732226532'],
[1e-05, 0.01, 'ResNet50', '6999', '0.0029249854742309503', '0.022660480759970947'],
[1e-05, 0.01, 'ResNet50', '5999', '0.002965090112052961', '0.025469226310039304'],
[1e-05, 0.01, 'ResNet50', '4999', '0.0025044108085266526', '0.012107879715658456'],
[1e-05, 0.01, 'ResNet50', '3999', '0.0010599861060054763', '0.006985158855389912'],
[1e-05, 0.01, 'ResNet50', '2999', '0.0006775634521640376', '0.004613025785353481'],
[1e-05, 0.01, 'ResNet50', '1999', '0.00011253797279203625', '0.0001922652780810481'],
[0.001, 0.001, 'ResNet50', '999', '0.024299806695197643', '0.14851777844479383'],
[0.001, 0.001, 'ResNet50', '14999', '0.6647736215812984', '0.5418764949877858'],
[0.001, 0.001, 'ResNet50', '13999', '0.6057765514579275', '0.541267699446647'],
[0.001, 0.001, 'ResNet50', '12999', '0.6180304235661713', '0.5872508481275139'],
[0.001, 0.001, 'ResNet50', '11999', '0.643629369608038', '0.5357623515498714'],
[0.001, 0.001, 'ResNet50', '10999', '0.6191458269277063', '0.5297814795642891'],
[0.001, 0.001, 'ResNet50', '9999', '0.6370183501304008', '0.533528300026435'],
[0.001, 0.001, 'ResNet50', '8999', '0.6653701852124174', '0.5568214373878381'],
[0.001, 0.001, 'ResNet50', '7999', '0.5797594424282456', '0.5257488958903727'],
[0.01, 0.001, 'ResNet50', '999', '0.0308798311068626', '0.1768038158710607'],
[0.001, 0.001, 'ResNet50', '6999', '0.5919394043480632', '0.576409757513104'],
[0.001, 0.001, 'ResNet50', '5999', '0.4145153812404557', '0.47008394497457473'],
[0.01, 0.001, 'ResNet50', '14999', '0.7067273476259699', '0.6095090053946735'],
[0.001, 0.001, 'ResNet50', '4999', '0.532873707256161', '0.5505416707530141'],
[0.01, 0.001, 'ResNet50', '13999', '0.7260173924529363', '0.5919459146203856'],
[0.01, 0.001, 'ResNet50', '12999', '0.6154582451724475', '0.5523543689967543'],
[0.001, 0.001, 'ResNet50', '3999', '0.4280709615696613', '0.4538936665403065'],
[0.01, 0.001, 'ResNet50', '11999', '0.6013748508179182', '0.595026413317586'],
[0.001, 0.001, 'ResNet50', '2999', '0.32794972471890704', '0.4478812118570864'],
[0.01, 0.001, 'ResNet50', '10999', '0.48147617742971516', '0.5074356374419258'],
[0.001, 0.001, 'ResNet50', '1999', '0.25177471866107726', '0.4339719357916939'],
[0.01, 0.001, 'ResNet50', '9999', '0.6965513416691351', '0.5702181903222524'],
[0.01, 0.001, 'ResNet50', '8999', '0.7667663492076434', '0.6248290705013742'],
[0.01, 0.001, 'ResNet50', '7999', '0.6208062416179471', '0.6123685674179271'],
[0.01, 0.001, 'ResNet50', '6999', '0.735446152658193', '0.6157994639610456'],
[0.01, 0.001, 'ResNet50', '5999', '0.62204867494756', '0.6177849950610025'],
[0.01, 0.001, 'ResNet50', '4999', '0.5863324500736604', '0.5851686840574842'],
[0.01, 0.001, 'ResNet50', '3999', '0.5989785356135187', '0.5793536310429112'],
[0.0001, 0.001, 'ResNet50', '999', '0.003226403696414401', '0.007999150244339354'],
[0.01, 0.001, 'ResNet50', '2999', '0.7158101355613657', '0.5965302771624041'],
[0.01, 0.001, 'ResNet50', '1999', '0.28677956651459685', '0.4297973232227072'],
[0.0001, 0.001, 'ResNet50', '14999', '0.39039079292631734', '0.39116595350981076'],
[0.0001, 0.001, 'ResNet50', '13999', '0.3596221349556675', '0.396960844003688'],
[0.0001, 0.001, 'ResNet50', '12999', '0.3797359202806871', '0.4646704966698774'],
[0.0001, 0.001, 'ResNet50', '11999', '0.3274098405271317', '0.3812710732733286'],
[0.0001, 0.001, 'ResNet50', '10999', '0.3228611077166396', '0.36804813751280213'],
[0.0001, 0.001, 'ResNet50', '9999', '0.22821422952261675', '0.3410998826884971'],
[0.0001, 0.001, 'ResNet50', '8999', '0.2424412906474799', '0.31564588298905194'],
[0.0001, 0.001, 'ResNet50', '7999', '0.19427290267292013', '0.24939475824404794'],
[0.0001, 0.001, 'ResNet50', '6999', '0.15446510085041837', '0.21208861852270902'],
[0.0001, 0.001, 'ResNet50', '5999', '0.08601181612441007', '0.182107792694311'],
[1e-05, 0.001, 'ResNet50', '999', '0.0023266076411031867', '0.003081131658927598'],
[0.0001, 0.001, 'ResNet50', '4999', '0.042326263714173584', '0.1559228173557903'],
[0.0001, 0.001, 'ResNet50', '3999', '0.009081170976593477', '0.08550715462497398'],
[0.0001, 0.001, 'ResNet50', '2999', '0.0022070519805166893', '0.025272310351122186'],
[1e-05, 0.001, 'ResNet50', '14999', '0.002003158776620479', '0.039759989683065475'],
[0.0001, 0.001, 'ResNet50', '1999', '0.004183921282169084', '0.02244882960267437'],
[1e-05, 0.001, 'ResNet50', '13999', '0.0017192059173622813', '0.016265329052599763'],
[1e-05, 0.001, 'ResNet50', '12999', '0.0015451456578228556', '0.007522299152411917'],
[1e-05, 0.001, 'ResNet50', '11999', '0.0016288956511208799', '0.007761970436389735'],
[1e-05, 0.001, 'ResNet50', '10999', '0.0014309370044388464', '0.005500530123740974'],
[1e-05, 0.001, 'ResNet50', '9999', '0.0013585173370190642', '0.005655599025758515'],
[1e-05, 0.001, 'ResNet50', '8999', '0.0013522555365219993', '0.0060052759518212035'],
[1e-05, 0.001, 'ResNet50', '7999', '0.0012295975248617311', '0.005138295297720302'],
[1e-05, 0.001, 'ResNet50', '6999', '0.001365660769394593', '0.006218932809247986'],
[1e-05, 0.001, 'ResNet50', '5999', '0.0012770671795415292', '0.005631770940685188'],
[1e-05, 0.001, 'ResNet50', '4999', '0.0012601139792674356', '0.004889289373866285'],
[1e-05, 0.001, 'ResNet50', '3999', '0.0008381456931205922', '0.002832335744634025'],
[1e-05, 0.001, 'ResNet50', '2999', '0.0004411844541159694', '0.0016026373409622004'],
[1e-05, 0.001, 'ResNet50', '1999', '0.00018355590576698254', '0.0002809878626097004'],
[0.001, 0.0001, 'ResNet50', '999', '0.035993787966871714', '0.10166151737803797'],
[0.001, 0.0001, 'ResNet50', '14999', '0.5993178383218802', '0.5949932965723074'],
[0.001, 0.0001, 'ResNet50', '13999', '0.6498361880251837', '0.5787103340351114'],
[0.001, 0.0001, 'ResNet50', '12999', '0.6175493433856598', '0.5793559896692212'],
[0.001, 0.0001, 'ResNet50', '11999', '0.5975280300010009', '0.5532342627693259'],
[0.001, 0.0001, 'ResNet50', '10999', '0.579309096489117', '0.548131591672443'],
[0.001, 0.0001, 'ResNet50', '9999', '0.6229051635010273', '0.5848184005576561'],
[0.001, 0.0001, 'ResNet50', '8999', '0.5663437858442932', '0.5456568946710292'],
[0.01, 0.0001, 'ResNet50', '999', '0.06606851726519058', '0.17770219562219378'],
[0.001, 0.0001, 'ResNet50', '7999', '0.5934328032465255', '0.5471937649880189'],
[0.001, 0.0001, 'ResNet50', '6999', '0.5741966916927318', '0.5985853257750893'],
[0.01, 0.0001, 'ResNet50', '14999', '0.7083137295550929', '0.5908577041844804'],
[0.001, 0.0001, 'ResNet50', '5999', '0.5065642430553836', '0.499772619885195'],
[0.01, 0.0001, 'ResNet50', '13999', '0.7127143484928903', '0.6356048921684709'],
[0.001, 0.0001, 'ResNet50', '4999', '0.48680945296495315', '0.49941333465839916'],
[0.01, 0.0001, 'ResNet50', '12999', '0.6964382599799575', '0.5840801998433411'],
[0.001, 0.0001, 'ResNet50', '3999', '0.43718636411558853', '0.4710864123106197'],
[0.01, 0.0001, 'ResNet50', '11999', '0.7847185149373015', '0.6314886800583199'],
[0.01, 0.0001, 'ResNet50', '10999', '0.7297393905965381', '0.6099388496725074'],
[0.001, 0.0001, 'ResNet50', '2999', '0.2408202616591987', '0.440171305561374'],
[0.01, 0.0001, 'ResNet50', '9999', '0.6116469852223876', '0.5906477487750252'],
[0.001, 0.0001, 'ResNet50', '1999', '0.17992543682949122', '0.3918733590317481'],
[0.01, 0.0001, 'ResNet50', '8999', '0.6897688374820186', '0.6360597919995096'],
[0.01, 0.0001, 'ResNet50', '7999', '0.7600419565317276', '0.628705840608303'],
[0.01, 0.0001, 'ResNet50', '6999', '0.707273466404239', '0.5764374802257298'],
[0.01, 0.0001, 'ResNet50', '5999', '0.6362059296636067', '0.6065931607112692'],
[0.01, 0.0001, 'ResNet50', '4999', '0.7234202490719331', '0.6516163522785502'],
[0.01, 0.0001, 'ResNet50', '3999', '0.5241265899622903', '0.5777038240641958'],
[0.01, 0.0001, 'ResNet50', '2999', '0.33562029443660835', '0.4486356441284272'],
[0.01, 0.0001, 'ResNet50', '1999', '0.38236112271497624', '0.5047724250432752'],
[0.0001, 0.0001, 'ResNet50', '999', '0.0013043802380653404', '0.0053671569698968925'],
[0.0001, 0.0001, 'ResNet50', '14999', '0.3084033542229395', '0.42318784199043513'],
[0.0001, 0.0001, 'ResNet50', '13999', '0.33316727561305937', '0.36476848754084673'],
[0.0001, 0.0001, 'ResNet50', '12999', '0.34282155161634614', '0.33573849614934936'],
[0.0001, 0.0001, 'ResNet50', '11999', '0.3051722664700443', '0.37626136663484583'],
[0.0001, 0.0001, 'ResNet50', '10999', '0.3301241194945976', '0.3732955033415879'],
[0.0001, 0.0001, 'ResNet50', '9999', '0.22755279707314474', '0.30733050810510043'],
[0.0001, 0.0001, 'ResNet50', '8999', '0.24459189850036828', '0.31886139910550026'],
[0.0001, 0.0001, 'ResNet50', '7999', '0.15455585914995595', '0.23525382153282703'],
[0.0001, 0.0001, 'ResNet50', '6999', '0.12581740086262877', '0.19320542240036911'],
[0.0001, 0.0001, 'ResNet50', '5999', '0.09971791469861574', '0.22883291354943647'],
[0.0001, 0.0001, 'ResNet50', '4999', '0.029397631308771332', '0.1492184630839513'],
[0.0001, 0.0001, 'ResNet50', '3999', '0.007761329108337436', '0.21455289408408543'],
[0.0001, 0.0001, 'ResNet50', '2999', '0.0019525548800787447', '0.058997509166249386'],
[0.0001, 0.0001, 'ResNet50', '1999', '0.0018539679714559532', '0.011913017163764236'],
[1e-05, 0.0001, 'ResNet50', '999', '4.1417231480338797e-05', '4.225508109030883e-05'],
[1e-05, 0.0001, 'ResNet50', '14999', '0.005999662961773472', '0.03965663235946555'],
